#Host,Spec_RA,Spec_Dec,Spec_z,Spec_Vel._(km/s),Spec_D_A_(Mpc),Spec_Sep._('),specobjid,sdss_ra,sdss_dec,z,objID,type,petroMag_u,petroMagErr_u,petroMag_g,petroMagErr_g,petroMag_r,petroMagErr_r,petroMag_i,petroMagErr_i,petroMag_z,petroMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,sciencePrimary,2mass_dist_x  ,2mass_ra,2mass_dec,2mass_designation,j_m,j_cmsig,j_snr,h_m,h_cmsig,h_snr,k_m,k_cmsig,k_snr,2mass_ph_qual,rd_flg,cc_flg,gal_contam,wise_dist_x ,wise_designation,wise_ra,wise_dec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr,cc_flags,ext_flg,wise_ph_qual,galex_objid,dstArcSec,IAUName,galex_ra,galex_dec,band,fuv_mag,fuv_magerr,fuv_s2n,fuv_ambg,nuv_mag,nuv_magerr,nuv_s2n,nuv_ambg,e_bv,
HE 0040-1105,10.668867,-10.863165,0.042032,12601,171.1,2.585,7.37466E+17,10.668867,-10.863165,0.04203157,1.23765E+18,GALAXY,17.83743,0.03933654,16.56425,0.005982799,15.99272,0.00582604,15.64626,0.008918782,15.44198,0.02145139,0.1560529,0.1148222,0.08327865,0.06314768,0.04477249,1,0.144,1.07E+01,-10.863205,00424052-1051475,15.539,0.119,30,14.842,0.14,24.4,14.344,0.113,17.1,BBB,222,0,0,1.587792,J004240.62-105146.7,10.6692752,-10.8629811,13.662,0.042,25.7,13.492,0.049,22.4,9.812,0.067,16.1,7.836,0.326,3.3,0,0,AAAB,6.38045E+18,1.670537596,GALEX J004240.4-105147,10.66839692,-10.86321198,3,19.37157,0.1321907,8.215404,1,18.99824,0.07688546,14.12491,1,0.03042547,
HE 0040-1105,10.618175,-10.871469,0.042396,12710,172.51,3.59,7.3748E+17,10.618175,-10.871469,0.04239643,1.23765E+18,GALAXY,18.25035,0.05855397,17.47415,0.01260399,17.20766,0.01480027,17.01835,0.02142533,17.02492,0.08749184,0.155958,0.1147524,0.08322799,0.06310927,0.04474526,1,0.183876,1.06E+01,-10.87147,00422834-1052172,16.638,0.135,10.9,16.136,0.166,7.4,14.704,null,null,BCU,220,0,0,0.108023,J004228.35-105217.1,10.6181635,-10.8714412,15.162,0.037,29.3,14.91,0.074,14.6,11.388,0.201,5.4,8.956,0.514,2.1,0,0,AABC,6.38045E+18,0.806185891,GALEX J004228.3-105217,10.61795205,-10.87142197,3,19.06532,0.09441654,11.50222,1,18.95355,0.05523062,19.663,1,0.02995254,
HE 0040-1105,10.550902,-10.961833,0.037953,11378,155.25,10.305,7.37478E+17,10.550902,-10.961833,0.03795302,1.23765E+18,GALAXY,20.61032,0.6996543,18.52018,0.07129005,17.83158,0.05437053,17.20098,0.05151019,17.69382,0.2198585,0.1618371,0.1190782,0.08636542,0.06548828,0.04643201,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649381,J004212.18-105741.0,10.5507583,-10.9613971,15.245,0.037,29,15.052,0.073,14.9,12.019,null,1.4,9.145,null,-0.2,h000,0,AAUU,6.38045E+18,0.889341414,GALEX J004212.1-105742,10.55070944,-10.96167397,2,20.4464,0.1914735,5.671803,0,-999,-999,-999,-2,0.03158579,
HE 0040-1105,10.534294,-10.491416,0.042065,12611,171.23,21.09,7.38662E+17,10.534294,-10.491416,0.0420649,1.23765E+18,GALAXY,18.83924,0.08878671,17.82071,0.01463207,17.46031,0.0171316,17.24776,0.02215152,17.00192,0.07216953,0.1634032,0.1202305,0.08720119,0.06612202,0.04688134,1,0.493519,1.05E+01,-10.491364,00420819-1029289,17.247,0.217,6,16.394,0.218,5.6,15.811,0.236,4.4,CDD,222,0,0,0.239444,J004208.23-102928.8,10.5342994,-10.4913497,15.295,0.038,28.2,15.092,0.084,13,11.714,0.255,4.3,8.357,null,1.7,0,0,AABU,6.38045E+18,0.145647575,GALEX J004208.2-102929,10.53432776,-10.49139288,3,19.95338,0.1803157,6.022769,1,19.5653,0.08418483,12.90019,1,0.03200476,
HE 0040-1105,10.189514,-10.582645,0.041923,12568,170.68,30.922,7.37487E+17,10.189514,-10.582645,0.04192341,1.23765E+18,GALAXY,18.41645,0.1267786,17.42966,0.02175917,17.07506,0.02221761,17.01087,0.03956766,16.65518,0.1102218,0.1707465,0.1256337,0.09112,0.06909354,0.04898818,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.260106,J004045.49-103457.7,10.1895634,-10.5826985,15.464,0.042,25.9,15.308,0.096,11.3,12.142,null,0.9,8.303,null,1.4,0,0,AAUU,6.38045E+18,0.743745791,GALEX J004045.4-103458,10.18952809,-10.58285113,3,19.37977,0.0854214,12.71344,1,18.97322,0.04937457,21.99513,1,0.03290576,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS 175,19.211469,0.057968423,0.046981,14084,190.13,4.406,4.48251E+17,19.211469,0.057968423,0.04698081,1.23766E+18,GALAXY,19.02769,0.09035133,17.72324,0.01470149,17.13697,0.0125195,16.80504,0.01300698,16.59522,0.04232615,0.1683283,0.1238543,0.0898295,0.06811499,0.04829438,1,0.529051,19.211592,0.057888,01165078+0003283,16.798,0.184,8.2,16.108,0.225,6.4,14.925,null,null,CDU,220,0,0,0.317774,J011650.75+000328.3,19.2114639,0.0578803,14.649,0.032,33.6,14.365,0.055,19.6,11.161,0.214,5.1,8.433,null,-0.9,0,0,AABU,3.14668E+18,0.665982187,GALEX J011650.7+000328,19.2113998,0.05779686,3,20.59473,0.03938636,27.573,1,20.04428,0.02922047,37.16573,1,0.0326168,
RBS 175,19.235611,0.13815525,0.047532,14250,192.23,8.026,4.48249E+17,19.235611,0.13815525,0.04753248,1.23766E+18,GALAXY,18.50481,0.07090124,16.78795,0.006926921,15.94636,0.005117789,15.55152,0.00510822,15.29968,0.0168757,0.1670639,0.1229241,0.08915477,0.06760336,0.04793163,1,0.241335,19.235678,0.138153,01165656+0008173,14.973,0.079,41,14.329,0.108,32.9,14.064,0.086,21.4,AAA,222,0,0,0.173185,J011656.55+000817.2,19.235655,0.1381358,13.252,0.025,42.8,13.21,0.031,35.3,12.322,null,0.5,8.754,null,-0.3,0,5,AAUU,6.38027E+18,0.658403542,GALEX J011656.5+000816,19.235554,0.137981468,1,-999,-999,-999,-2,22.3391,0.5753794,1.88745,0,0.0323633,
RBS 175,19.147643,0.132753,0.047188,14146,190.92,10.29,1.21726E+18,19.147643,0.132753,0.04718757,1.23766E+18,GALAXY,20.01889,0.1873777,18.9336,0.03377636,18.47187,0.03226946,18.25404,0.03776817,17.94206,0.1214886,0.1640838,0.1207313,0.08756442,0.06639745,0.04707662,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.025925,J011635.43+000757.8,19.1476495,0.1327499,16.199,0.066,16.3,16.052,0.195,5.6,11.992,null,0.7,8.031,null,2,0,0,ABUU,3.14668E+18,0.321803923,GALEX J011635.4+000758,19.14757575,0.132811886,3,21.28642,0.05450385,19.9252,1,20.83294,0.0490191,22.15463,1,0.03177344,
RBS 175,19.084834,0.004402861,0.04375,13116,177.73,10.809,4.48244E+17,19.084834,0.004402861,0.04375002,1.23766E+18,GALAXY,19.4335,0.09964602,18.15377,0.01482703,17.47897,0.01260898,17.1882,0.01382114,16.95752,0.04590341,0.1631478,0.1200426,0.08706489,0.06601867,0.04680806,1,1.061673,19.085128,0.004426,01162043+0000159,16.782,0.162,8.3,16.012,0.168,7,15.697,0.22,5.3,CCD,222,0,0,0.17069,J011620.36+000016.0,19.0848497,0.0044476,15.212,0.041,26.7,15.084,0.102,10.6,12.379,null,-0.7,8.725,null,0.1,0,0,AAUU,3.14668E+18,0.31484346,GALEX J011620.3+000016,19.08480398,0.004485005,1,-999,-999,-999,-2,22.58525,0.1570352,6.915645,0,0.03165265,
