Host,Spec_RA,Spec_Dec,Spec_z,Spec_Vel._(km/s),Spec_D_A_(Mpc),Spec_Sep._('),specobjid,sdss_ra,sdss_dec,z,objID,type,petroMag_u,petroMagErr_u,petroMag_g,petroMagErr_g,petroMag_r,petroMagErr_r,petroMag_i,petroMagErr_i,petroMag_z,petroMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,petroRad_r,2mass_dist_x  ,2mass_designation,2mass_ra,2mass_dec,cc_flg,j_m_5,j_msig_5,j_flg_5,h_m_5,h_msig_5,h_flg_5,k_m_5,k_msig_5,k_flg_5,j_m_7,j_msig_7,j_flg_7,h_m_7,h_msig_7,h_flg_7,k_m_7,k_msig_7,k_flg_7,j_m_10,j_msig_10,j_flg_10,h_m_10,h_msig_10,h_flg_10,k_m_10,k_msig_10,k_flg_10,j_m_15,j_msig_15,j_flg_15,h_m_15,h_msig_15,h_flg_15,k_m_15,k_msig_15,k_flg_15,j_m_20,j_msig_20,j_flg_20,h_m_20,h_msig_20,h_flg_20,k_m_20,k_msig_20,k_flg_20,j_m_25,j_msig_25,j_flg_25,h_m_25,h_msig_25,h_flg_25,k_m_25,k_msig_25,k_flg_25,j_m_30,j_msig_30,j_flg_30,h_m_30,h_msig_30,h_flg_30,k_m_30,k_msig_30,k_flg_30,j_m_40,j_msig_40,j_flg_40,h_m_40,h_msig_40,h_flg_40,k_m_40,k_msig_40,k_flg_40,wise_dist_x ,wise_designation,wise_ra,wise_dec,cc_flags,ext_flg,w1mag_1,w1sigm_1,w1flg_1,w2mag_1,w2sigm_1,w2flg_1,w3mag_1,w3sigm_1,w3flg_1,w4mag_1,w4sigm_1,w4flg_1,w1mag_2,w1sigm_2,w1flg_2,w2mag_2,w2sigm_2,w2flg_2,w3mag_2,w3sigm_2,w3flg_2,w4mag_2,w4sigm_2,w4flg_2,w1mag_3,w1sigm_3,w1flg_3,w2mag_3,w2sigm_3,w2flg_3,w3mag_3,w3sigm_3,w3flg_3,w4mag_3,w4sigm_3,w4flg_3,w1mag_4,w1sigm_4,w1flg_4,w2mag_4,w2sigm_4,w2flg_4,w3mag_4,w3sigm_4,w3flg_4,w4mag_4,w4sigm_4,w4flg_4,w1mag_5,w1sigm_5,w1flg_5,w2mag_5,w2sigm_5,w2flg_5,w3mag_5,w3sigm_5,w3flg_5,w4mag_5,w4sigm_5,w4flg_5,w1mag_6,w1sigm_6,w1flg_6,w2mag_6,w2sigm_6,w2flg_6,w3mag_6,w3sigm_6,w3flg_6,w4mag_6,w4sigm_6,w4flg_6,w1mag_7,w1sigm_7,w1flg_7,w2mag_7,w2sigm_7,w2flg_7,w3mag_7,w3sigm_7,w3flg_7,w4mag_7,w4sigm_7,w4flg_7,w1mag_8,w1sigm_8,w1flg_8,w2mag_8,w2sigm_8,w2flg_8,w3mag_8,w3sigm_8,w3flg_8,w4mag_8,w4sigm_8,w4flg_8,galex_objid,dstArcSec,IAUName,galex_ra,galex_dec,band,fuv_mag,fuv_magerr,fuv_s2n,fuv_ambg,nuv_mag,nuv_magerr,nuv_s2n,nuv_ambg,e_bv
HE 0040-1105,10.668867,-10.863165,0.042032,12601,171.1,2.585,7.37E+17,10.668867,-10.863165,0.04203157,1.24E+18,GALAXY,17.83743,0.03933654,16.56425,0.005982799,15.99272,0.00582604,15.64626,0.008918782,15.44198,0.02145139,0.1560529,0.1148222,0.08327865,0.06314768,0.04477249,5.719626,0.160237,00424053-1051472,10.668895,-10.86313,0,14.436,0.041,0,13.763,0.052,0,13.358,0.074,0,14.277,0.049,0,13.583,0.061,0,13.162,0.086,0,14.189,0.065,0,13.427,0.076,0,12.99,0.105,0,14.04,0.086,0,13.297,0.103,0,12.885,0.146,0,14.107,0.125,0,13.344,0.148,0,12.831,0.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.587792,J004240.62-105146.7,10.6692752,-10.8629811,0,0,13.857,0.012,1,13.784,0.023,1,10.848,0.053,1,8.68,0.243,1,13.347,0.01,1,13.231,0.019,1,10.231,0.042,1,8.226,0.233,1,13.123,0.011,1,12.975,0.02,1,9.912,0.041,1,7.961,0.244,1,13.02,0.011,1,12.856,0.021,1,9.749,0.043,1,7.862,0.285,1,12.968,0.013,1,12.794,0.024,1,9.673,0.048,1,7.968,0.388,1,12.933,0.014,1,12.753,0.027,1,9.643,0.055,1,7.426,,32,12.905,0.016,1,12.723,0.03,1,9.645,0.064,1,7.475,,32,12.882,0.017,1,12.706,0.034,1,9.661,0.074,1,7.476,,32,6.38E+18,1.670537596,GALEX J004240.4-105147,10.66839692,-10.86321198,3,19.37157,0.1321907,8.215404,1,18.99824,0.07688546,14.12491,1,0.03042547
HE 0040-1105,10.618175,-10.871469,0.042396,12710,172.51,3.59,7.37E+17,10.618175,-10.871469,0.04239643,1.24E+18,GALAXY,18.25035,0.05855397,17.47415,0.01260399,17.20766,0.01480027,17.01835,0.02142533,17.02492,0.08749184,0.155958,0.1147524,0.08322799,0.06310927,0.04474526,5.867288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108023,J004228.35-105217.1,10.6181635,-10.8714412,0,0,15.659,0.039,1,15.544,0.093,1,12.773,0.28,1,8.948,,32,15.194,0.035,1,14.967,0.077,1,12.129,0.216,1,8.472,,32,15.009,0.038,1,14.669,0.076,1,11.791,0.205,1,8.111,,32,14.953,0.044,1,14.517,0.082,1,11.606,0.214,1,7.804,,32,14.951,0.053,1,14.448,0.092,1,11.482,0.229,1,7.514,,32,14.951,0.063,1,14.417,0.105,1,11.395,0.25,1,7.266,,32,14.89,0.069,1,14.365,0.116,1,11.32,0.272,1,7.059,,32,14.745,0.069,1,14.261,0.121,1,11.259,0.295,1,6.859,,32,6.38E+18,0.806185891,GALEX J004228.3-105217,10.61795205,-10.87142197,3,19.06532,0.09441654,11.50222,1,18.95355,0.05523062,19.663,1,0.02995254
HE 0040-1105,10.550902,-10.961833,0.037953,11378,155.25,10.305,7.37E+17,10.550902,-10.961833,0.03795302,1.24E+18,GALAXY,20.61032,0.6996543,18.52018,0.07129005,17.83158,0.05437053,17.20098,0.05151019,17.69382,0.2198585,0.1618371,0.1190782,0.08636542,0.06548828,0.04643201,6.624734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.649381,J004212.18-105741.0,10.5507583,-10.9613971,h000,0,15.467,0.04,0,15.449,0.14,0,13.018,,32,9.141,,32,14.697,0.027,0,14.629,0.092,0,12.547,,32,8.609,,32,13.963,0.018,1,13.833,0.057,1,12.081,,32,8.217,,32,13.062,0.011,1,12.921,0.031,1,12.223,0.407,1,7.919,,32,12.089,0.007,1,12.026,0.017,1,11.653,0.289,1,7.683,,32,11.26,0.006,1,11.286,0.011,1,11.2,0.226,1,7.497,,32,10.702,0.006,1,10.772,0.009,1,10.875,0.195,1,7.368,,32,10.4,0.006,1,10.471,0.008,1,10.663,0.184,1,7.205,,32,6.38E+18,0.889341414,GALEX J004212.1-105742,10.55070944,-10.96167397,2,20.4464,0.1914735,5.671803,0,,,,-2,0.03158579
HE 0040-1105,10.534294,-10.491416,0.042065,12611,171.23,21.09,7.39E+17,10.534294,-10.491416,0.0420649,1.24E+18,GALAXY,18.83924,0.08878671,17.82071,0.01463207,17.46031,0.0171316,17.24776,0.02215152,17.00192,0.07216953,0.1634032,0.1202305,0.08720119,0.06612202,0.04688134,4.777268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239444,J004208.23-102928.8,10.5342994,-10.4913497,0,0,15.84,0.057,0,15.787,0.113,0,13.117,0.377,0,8.831,,32,15.432,0.054,0,15.312,0.102,0,12.435,0.282,0,8.274,,32,15.299,0.062,1,15.129,0.111,1,12.056,0.257,1,7.883,,32,15.255,0.073,1,15.048,0.127,1,11.847,0.262,1,7.561,,32,15.226,0.086,1,14.962,0.141,1,11.698,0.275,1,7.292,,32,15.217,0.1,1,14.849,0.149,1,11.577,0.289,1,7.116,,32,15.246,0.119,1,14.731,0.154,1,11.454,0.298,1,7.009,,32,15.294,0.144,1,14.624,0.16,1,11.362,0.315,1,6.909,,32,6.38E+18,0.145647575,GALEX J004208.2-102929,10.53432776,-10.49139288,3,19.95338,0.1803157,6.022769,1,19.5653,0.08418483,12.90019,1,0.03200476
HE 0040-1105,10.189514,-10.582645,0.041923,12568,170.68,30.922,7.37E+17,10.189514,-10.582645,0.04192341,1.24E+18,GALAXY,18.41645,0.1267786,17.42966,0.02175917,17.07506,0.02221761,17.01087,0.03956766,16.65518,0.1102218,0.1707465,0.1256337,0.09112,0.06909354,0.04898818,9.900528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.260106,J004045.49-103457.7,10.1895634,-10.5826985,0,0,15.884,0.056,0,15.872,0.119,0,12.876,,32,8.67,,32,15.33,0.049,0,15.3,0.099,0,12.423,,32,8.859,0.542,1,15.069,0.05,1,15.039,0.1,1,12.142,,32,8.447,0.509,1,14.946,0.054,1,14.933,0.114,1,11.964,,32,8.174,0.52,1,14.88,0.06,1,14.926,0.145,1,11.82,,32,7.253,,32,14.821,0.067,1,14.994,0.203,1,11.663,,32,7.113,,32,14.734,0.071,1,15.076,0.263,1,11.448,,32,6.956,,32,14.606,0.073,1,15.13,0.31,1,11.164,,32,6.795,,32,6.38E+18,0.743745791,GALEX J004045.4-103458,10.18952809,-10.58285113,3,19.37977,0.0854214,12.71344,1,18.97322,0.04937457,21.99513,1,0.03290576
RBS 175,19.211469,0.057968423,0.046981,14084,190.13,4.406,4.48E+17,19.211469,0.057968423,0.04698081,1.24E+18,GALAXY,19.02769,0.09035133,17.72324,0.01470149,17.13697,0.0125195,16.80504,0.01300698,16.59522,0.04232615,0.1683283,0.1238543,0.0898295,0.06811499,0.04829438,5.777006,0.504079,01165076+0003291,19.211504,0.058104,0,15.653,0.136,0,14.78,0.147,0,14.511,0.214,0,15.496,0.165,0,14.547,0.166,0,14.141,0.213,0,15.482,0.234,0,14.477,0.224,0,14.059,0.284,0,15.569,0.387,0,14.527,0.358,0,14.349,0.567,0,15.244,0.393,0,14.192,0.36,0,14.989,1.399,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317774,J011650.75+000328.3,19.2114639,0.0578803,0,0,15.114,0.03,1,15.127,0.081,1,12.645,0.393,0,9.265,,32,14.659,0.026,1,14.685,0.074,1,12.139,0.343,1,8.841,,32,14.479,0.028,1,14.536,0.082,1,11.988,0.386,1,8.514,,32,14.411,0.032,1,14.52,0.1,1,11.992,0.48,1,8.237,,32,14.384,0.038,1,14.581,0.127,1,11.212,,32,7.994,,32,14.363,0.044,1,14.695,0.167,1,11.122,,32,7.774,,32,14.343,0.05,1,14.84,0.223,1,11.027,,32,7.573,,32,14.323,0.056,1,15.019,0.304,1,10.97,,32,7.387,,32,3.15E+18,0.665982187,GALEX J011650.7+000328,19.2113998,0.05779686,3,20.59473,0.03938636,27.573,1,20.04428,0.02922047,37.16573,1,0.0326168
RBS 175,19.235611,0.13815525,0.047532,14250,192.23,8.026,4.48E+17,19.235611,0.13815525,0.04753248,1.24E+18,GALAXY,18.50481,0.07090124,16.78795,0.006926921,15.94636,0.005117789,15.55152,0.00510822,15.29968,0.0168757,0.1670639,0.1229241,0.08915477,0.06760336,0.04793163,7.579601,0.273554,01165656+0008171,19.235668,0.138105,0,14.33,0.041,0,13.628,0.051,0,13.308,0.071,0,14.137,0.047,0,13.391,0.057,0,13.07,0.08,0,14.01,0.06,0,13.195,0.069,0,12.854,0.094,0,13.93,0.086,0,13.098,0.096,0,12.739,0.129,0,13.829,0.107,0,13.035,0.124,0,12.648,0.162,0,13.744,0.127,0,12.972,0.151,0,12.812,0.243,0,,,,,,,,,,,,,,,,,,,0.173185,J011656.55+000817.2,19.235655,0.1381358,0,5,13.82,0.013,0,13.904,0.035,0,12.901,,32,9.333,,32,13.339,0.011,0,13.381,0.031,0,12.511,,32,8.893,,32,13.131,0.012,0,13.147,0.032,0,12.247,,32,8.549,,32,13.044,0.013,0,13.046,0.035,0,12.102,,32,8.254,,32,13.014,0.015,1,13.013,0.041,1,11.894,,32,7.993,,32,13.005,0.017,1,13.015,0.048,1,11.716,,32,7.757,,32,13.002,0.019,1,13.028,0.056,1,11.55,,32,7.541,,32,12.999,0.022,1,13.043,0.064,1,11.398,,32,7.341,,32,6.38E+18,0.658403542,GALEX J011656.5+000816,19.235554,0.137981468,1,,,,-2,22.3391,0.5753794,1.88745,0,0.0323633
RBS 175,19.147643,0.132753,0.047188,14146,190.92,10.29,1.22E+18,19.147643,0.132753,0.04718757,1.24E+18,GALAXY,20.01889,0.1873777,18.9336,0.03377636,18.47187,0.03226946,18.25404,0.03776817,17.94206,0.1214886,0.1640838,0.1207313,0.08756442,0.06639745,0.04707662,4.870742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025925,J011635.43+000757.8,19.1476495,0.1327499,0,0,16.646,0.086,1,16.805,0.399,1,12.828,,32,8.612,,32,16.198,0.083,1,16.351,0.373,1,12.404,,32,8.208,,32,16.003,0.091,1,16.168,0.411,1,12.073,,32,7.865,,32,15.891,0.1,1,16.065,0.461,1,11.814,,32,7.667,,32,15.798,0.11,1,15.936,0.492,1,11.613,,32,7.562,,32,15.677,0.116,1,15.702,0.468,1,11.482,,32,7.327,,32,15.446,0.109,1,15.352,0.394,1,11.452,,32,7.111,,32,15.014,0.084,1,14.87,0.291,1,11.379,,32,6.913,,32,3.15E+18,0.321803923,GALEX J011635.4+000758,19.14757575,0.132811886,3,21.28642,0.05450385,19.9252,1,20.83294,0.0490191,22.15463,1,0.03177344
RBS 175,19.084834,0.004402861,0.04375,13116,177.73,10.809,4.48E+17,19.084834,0.004402861,0.04375002,1.24E+18,GALAXY,19.4335,0.09964602,18.15377,0.01482703,17.47897,0.01260898,17.1882,0.01382114,16.95752,0.04590341,0.1631478,0.1200426,0.08706489,0.06601867,0.04680806,4.477453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17069,J011620.36+000016.0,19.0848497,0.0044476,0,0,15.743,0.072,0,15.787,0.172,0,13.051,,32,9.323,,32,15.329,0.068,0,15.291,0.151,0,12.689,,32,8.902,,32,15.198,0.077,1,15.084,0.162,1,12.405,,32,8.572,,32,15.187,0.095,1,15.027,0.19,1,12.17,,32,9.126,,32,15.212,0.116,1,15.037,0.23,1,11.972,,32,8.043,,32,15.235,0.14,1,15.034,0.273,1,11.794,,32,8.023,,32,15.243,0.164,1,14.989,0.307,1,11.628,,32,7.509,,32,15.258,0.191,1,14.919,0.333,1,11.478,,32,7.267,,32,3.15E+18,0.31484346,GALEX J011620.3+000016,19.08480398,0.004485005,1,,,,-2,22.58525,0.1570352,6.915645,0,0.03165265
RBS 175,19.049684,0.050697,0.045594,13669,184.82,13.172,1.69E+18,19.049684,0.050697,0.04559423,1.24E+18,GALAXY,19.81459,0.2008933,18.82648,0.03684863,18.39681,0.03462436,18.23024,0.04994727,17.91676,0.1573679,0.1643463,0.1209244,0.08770449,0.06650366,0.04715192,6.422101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.651938,J011611.96+000302.3,19.0498615,0.0506611,0,0,16.933,0.141,0,16.355,,32,12.972,,32,8.936,,32,16.47,0.129,1,15.967,,32,12.667,,32,8.376,,32,16.271,0.14,1,15.87,,32,12.384,,32,7.895,,32,16.103,0.148,1,15.876,,32,12.155,,32,7.531,,32,15.883,0.146,1,15.84,,32,11.95,,32,7.323,,32,15.713,0.148,1,15.757,,32,11.77,,32,7.155,,32,15.643,0.162,1,15.728,,32,11.606,,32,6.976,,32,15.622,0.182,1,15.691,,32,11.456,,32,6.82,,32,2.92E+18,0.259690914,GALEX J011611.9+000302,19.04963103,0.050648029,3,21.49591,0.05373449,20.21049,1,20.925,0.05315173,20.43207,1,0.0319222
